scenario_id,tier,cell,validation,governance,latency_ms,tokens,correct,confidence,rubric_composite,n_detected,n_injected,validator_iterations,audit_intact,measured_latency_ms,measured_governance_ms,measured_worker_ms,measured_validator_ms,measured_policy_ms,measured_audit_ms,measured_redaction_ms,measured_queue_ms,n_true_positive,n_false_positive,n_claims,governed_events,anchored_workers,peer_bias_exposure,entities_redacted
L-029,low,Baseline,0,0,613.624,1218,0,0.5,0.16,0,1,0,1,0.755532,0.0,0.755532,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-030,low,Baseline,0,0,643.536,991,0,0.5,0.16,0,1,0,1,1.46427,0.0,1.46427,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-031,low,Baseline,0,0,660.852,1081,0,0.5,0.19,0,1,0,1,0.923843,0.0,0.923843,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-032,low,Baseline,0,0,619.51,974,0,0.5,0.22,0,1,0,1,1.388738,0.0,1.388738,0.0,0.0,0.0,0.0,0.0,0,0,5,0,2,9,0
L-033,low,Baseline,0,0,376.085,757,0,0.5,0.19,0,1,0,1,1.175019,0.0,1.175019,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-034,low,Baseline,0,0,557.55,1004,0,0.5,0.19,0,1,0,1,1.333706,0.0,1.333706,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-035,low,Baseline,0,0,575.957,983,0,0.5,0.19,0,1,0,1,0.756462,0.0,0.756462,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-036,low,Baseline,0,0,516.467,1040,0,0.5,0.19,0,1,0,1,1.067447,0.0,1.067447,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-037,low,Baseline,0,0,355.514,772,0,0.5,0.19,0,1,0,1,0.56066,0.0,0.56066,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-038,low,Baseline,0,0,539.323,913,0,0.5,0.13,0,1,0,1,0.640368,0.0,0.640368,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-039,low,Baseline,0,0,675.324,889,0,0.5,0.19,0,1,0,1,1.411962,0.0,1.411962,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-040,low,Baseline,0,0,573.487,863,0,0.5,0.22,0,1,0,1,0.612026,0.0,0.612026,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-041,low,Baseline,0,0,565.74,1075,0,0.5,0.19,0,1,0,1,0.953496,0.0,0.953496,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
L-042,low,Baseline,0,0,644.06,977,0,0.5,0.16,0,1,0,1,0.787319,0.0,0.787319,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-043,low,Baseline,0,0,472.586,885,0,0.5,0.19,0,1,0,1,0.660047,0.0,0.660047,0.0,0.0,0.0,0.0,0.0,0,0,5,0,0,9,0
L-044,low,Baseline,0,0,391.961,787,0,0.5,0.22,0,1,0,1,0.82243,0.0,0.82243,0.0,0.0,0.0,0.0,0.0,0,0,5,0,1,9,0
M-000,medium,Baseline,0,0,556.243,977,1,0.5,0.6625,0,2,0,1,0.727199,0.0,0.727199,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-001,medium,Baseline,0,0,590.321,1062,1,0.5,0.625,0,2,0,1,0.649231,0.0,0.649231,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-002,medium,Baseline,0,0,481.05,924,0,0.5,0.175,0,2,0,1,0.73452,0.0,0.73452,0.0,0.0,0.0,0.0,0.0,0,0,8,0,2,14,0
M-003,medium,Baseline,0,0,551.902,1057,1,0.5,0.6063,0,2,0,1,1.271041,0.0,1.271041,0.0,0.0,0.0,0.0,0.0,0,0,8,0,0,14,0
M-004,medium,Baseline,0,0,691.348,1070,0,0.5,0.175,0,2,0,1,0.754268,0.0,0.754268,0.0,0.0,0.0,0.0,0.0,0,0,8,0,1,14,0
