scenario_id,tier,cell,delta_latency_ms,delta_tokens,z_latency,z_tokens,security_tax,band
L-022,low,Full,10858.952,1647.0,0.6028,1.0315,0.8172,adaptive-governance
L-023,low,Full,13996.702,1659.0,0.9917,1.0466,1.0191,adaptive-governance
L-024,low,Full,10170.554,1745.0,0.5175,1.1544,0.836,adaptive-governance
L-025,low,Full,10282.866,1742.0,0.5314,1.1507,0.841,adaptive-governance
L-026,low,Full,13576.182,1737.0,0.9396,1.1444,1.042,adaptive-governance
L-027,low,Full,9319.983,1667.0,0.4121,1.0566,0.7343,adaptive-governance
L-028,low,Full,10044.161,1622.0,0.5018,1.0001,0.751,adaptive-governance
L-029,low,Full,9537.663,1748.0,0.4391,1.1582,0.7986,adaptive-governance
L-030,low,Full,10707.394,1625.0,0.584,1.0039,0.794,adaptive-governance
L-031,low,Full,12248.07,1697.0,0.775,1.0942,0.9346,adaptive-governance
L-032,low,Full,10093.841,1705.0,0.508,1.1042,0.8061,adaptive-governance
L-033,low,Full,9323.642,1536.0,0.4125,0.8923,0.6524,adaptive-governance
L-034,low,Full,13274.664,1770.0,0.9022,1.1858,1.044,adaptive-governance
L-035,low,Full,9385.241,1780.0,0.4202,1.1983,0.8092,adaptive-governance
L-036,low,Full,10533.207,1711.0,0.5624,1.1118,0.8371,adaptive-governance
L-037,low,Full,14595.224,1726.0,1.0659,1.1306,1.0982,adaptive-governance
L-038,low,Full,11941.795,1704.0,0.737,1.103,0.92,adaptive-governance
L-039,low,Full,9607.044,1667.0,0.4477,1.0566,0.7521,adaptive-governance
L-040,low,Full,9540.431,1703.0,0.4394,1.1017,0.7706,adaptive-governance
L-041,low,Full,11710.438,1699.0,0.7083,1.0967,0.9025,adaptive-governance
L-042,low,Full,8929.739,1756.0,0.3637,1.1682,0.766,adaptive-governance
L-043,low,Full,16253.171,1558.0,1.2714,0.9199,1.0956,adaptive-governance
L-044,low,Full,9443.619,1759.0,0.4274,1.172,0.7997,adaptive-governance
M-000,medium,Baseline,-242.701,-12.4,-0.3043,-1.0487,-0.6765,full-governance
M-001,medium,Baseline,-631.847,-44.4,-0.3187,-1.0873,-0.703,full-governance
M-002,medium,Baseline,-813.056,-42.4,-0.3253,-1.0849,-0.7051,full-governance
M-003,medium,Baseline,2751.367,57.6,-0.1939,-0.9642,-0.5791,full-governance
M-004,medium,Baseline,-446.103,33.6,-0.3118,-0.9932,-0.6525,full-governance
M-005,medium,Baseline,-820.559,-212.4,-0.3256,-1.2902,-0.8079,full-governance
M-006,medium,Baseline,2320.381,37.6,-0.2098,-0.9883,-0.5991,full-governance
M-007,medium,Baseline,-442.152,-8.4,-0.3117,-1.0439,-0.6778,full-governance
M-008,medium,Baseline,1564.483,18.6,-0.2377,-1.0113,-0.6245,full-governance
M-009,medium,Baseline,-209.788,12.6,-0.3031,-1.0185,-0.6608,full-governance
M-010,medium,Baseline,618.621,-21.4,-0.2726,-1.0596,-0.6661,full-governance
M-011,medium,Baseline,633.27,64.6,-0.272,-0.9557,-0.6139,full-governance
M-012,medium,Baseline,770.381,-21.4,-0.267,-1.0596,-0.6633,full-governance
M-013,medium,Baseline,1786.255,67.6,-0.2295,-0.9521,-0.5908,full-governance
M-014,medium,Baseline,-783.187,25.6,-0.3242,-1.0028,-0.6635,full-governance
M-015,medium,Baseline,-422.971,24.6,-0.311,-1.004,-0.6575,full-governance
M-016,medium,Baseline,-815.029,-84.4,-0.3254,-1.1357,-0.7305,full-governance
M-017,medium,Baseline,251.745,35.6,-0.2861,-0.9907,-0.6384,full-governance
M-018,medium,Baseline,-211.595,-74.4,-0.3032,-1.1236,-0.7134,full-governance
M-019,medium,Baseline,-722.078,-54.4,-0.322,-1.0994,-0.7107,full-governance
M-020,medium,Baseline,-186.487,-21.4,-0.3022,-1.0596,-0.6809,full-governance
M-021,medium,Baseline,18.427,27.6,-0.2947,-1.0004,-0.6475,full-governance
M-022,medium,Baseline,-563.568,30.6,-0.3161,-0.9968,-0.6565,full-governance
M-023,medium,Baseline,-475.403,49.6,-0.3129,-0.9738,-0.6434,full-governance
M-024,medium,Baseline,1347.479,93.6,-0.2457,-0.9207,-0.5832,full-governance
M-025,medium,Baseline,-546.879,-79.4,-0.3155,-1.1296,-0.7226,full-governance
M-026,medium,Baseline,-298.979,-54.4,-0.3064,-1.0994,-0.7029,full-governance
M-027,medium,Baseline,-308.934,-4.4,-0.3068,-1.039,-0.6729,full-governance
M-028,medium,Baseline,-223.586,61.6,-0.3036,-0.9593,-0.6315,full-governance
M-029,medium,Baseline,729.982,-124.4,-0.2685,-1.184,-0.7262,full-governance
M-030,medium,Baseline,-670.457,108.6,-0.3201,-0.9026,-0.6113,full-governance
M-031,medium,Baseline,873.194,-130.4,-0.2632,-1.1912,-0.7272,full-governance
M-032,medium,Baseline,-623.587,54.6,-0.3184,-0.9678,-0.6431,full-governance
M-033,medium,Baseline,261.201,12.6,-0.2857,-1.0185,-0.6521,full-governance
M-034,medium,Baseline,-701.439,44.6,-0.3212,-0.9799,-0.6505,full-governance
M-035,medium,Baseline,-504.313,-65.4,-0.314,-1.1127,-0.7133,full-governance
M-036,medium,Baseline,-613.203,67.6,-0.318,-0.9521,-0.635,full-governance
M-037,medium,Baseline,-713.167,-47.4,-0.3217,-1.091,-0.7063,full-governance
M-038,medium,Baseline,-794.65,98.6,-0.3247,-0.9147,-0.6197,full-governance
M-039,medium,Baseline,-626.056,-13.4,-0.3184,-1.0499,-0.6842,full-governance
M-040,medium,Baseline,-627.416,-22.4,-0.3185,-1.0608,-0.6896,full-governance
M-041,medium,Baseline,668.701,42.6,-0.2707,-0.9823,-0.6265,full-governance
M-042,medium,Baseline,-620.336,21.6,-0.3182,-1.0076,-0.6629,full-governance
M-043,medium,Baseline,784.41,55.6,-0.2664,-0.9666,-0.6165,full-governance
M-044,medium,Baseline,279.618,-7.4,-0.2851,-1.0427,-0.6639,full-governance
M-000,medium,V-only,10228.665,1525.6,0.0817,0.8085,0.4451,full-governance
M-001,medium,V-only,10637.427,1683.6,0.0968,0.9993,0.5481,adaptive-governance
M-002,medium,V-only,9002.617,1568.6,0.0365,0.8605,0.4485,full-governance
M-003,medium,V-only,11959.701,1630.6,0.1455,0.9353,0.5404,adaptive-governance
M-004,medium,V-only,10027.407,1661.6,0.0743,0.9728,0.5235,adaptive-governance
M-005,medium,V-only,12934.912,1576.6,0.1815,0.8701,0.5258,adaptive-governance
M-006,medium,V-only,11279.35,1639.6,0.1204,0.9462,0.5333,adaptive-governance
M-007,medium,V-only,9116.406,1662.6,0.0407,0.974,0.5073,adaptive-governance
M-008,medium,V-only,11407.84,1645.6,0.1252,0.9535,0.5393,adaptive-governance
M-009,medium,V-only,13132.784,1596.6,0.1887,0.8943,0.5415,adaptive-governance
M-010,medium,V-only,10796.507,1624.6,0.1026,0.9281,0.5154,adaptive-governance
M-011,medium,V-only,13816.771,1631.6,0.214,0.9365,0.5753,adaptive-governance
M-012,medium,V-only,11194.427,1570.6,0.1173,0.8629,0.4901,full-governance
M-013,medium,V-only,13619.144,1638.6,0.2067,0.945,0.5758,adaptive-governance
M-014,medium,V-only,10100.339,1519.6,0.077,0.8013,0.4391,full-governance
M-015,medium,V-only,12520.61,1549.6,0.1662,0.8375,0.5019,adaptive-governance
M-016,medium,V-only,356146.381,1652.6,12.8332,0.9619,6.8976,minimal-governance
M-017,medium,V-only,18035.703,1652.6,0.3695,0.9619,0.6657,adaptive-governance
M-018,medium,V-only,9825.522,1596.6,0.0668,0.8943,0.4806,full-governance
M-019,medium,V-only,9129.753,1548.6,0.0412,0.8363,0.4388,full-governance
M-020,medium,V-only,13959.559,1566.6,0.2192,0.8581,0.5386,adaptive-governance
M-021,medium,V-only,10575.659,1653.6,0.0945,0.9631,0.5288,adaptive-governance
M-022,medium,V-only,11872.043,1567.6,0.1423,0.8593,0.5008,adaptive-governance
M-023,medium,V-only,11337.576,1668.6,0.1226,0.9812,0.5519,adaptive-governance
M-024,medium,V-only,12533.796,1648.6,0.1667,0.9571,0.5619,adaptive-governance
M-025,medium,V-only,10175.156,1352.6,0.0797,0.5996,0.3397,full-governance
M-026,medium,V-only,10185.861,1559.6,0.0801,0.8496,0.4649,full-governance
M-027,medium,V-only,9401.625,1593.6,0.0512,0.8907,0.4709,full-governance
M-028,medium,V-only,9224.935,1616.6,0.0447,0.9184,0.4816,full-governance
M-029,medium,V-only,11653.942,1561.6,0.1342,0.852,0.4931,full-governance
M-030,medium,V-only,11703.202,1686.6,0.1361,1.003,0.5695,adaptive-governance
M-031,medium,V-only,10953.02,1548.6,0.1084,0.8363,0.4724,full-governance
M-032,medium,V-only,9489.873,1547.6,0.0545,0.8351,0.4448,full-governance
M-033,medium,V-only,12636.39,1481.6,0.1705,0.7554,0.4629,full-governance
M-034,medium,V-only,10768.896,1623.6,0.1016,0.9269,0.5142,adaptive-governance
M-035,medium,V-only,10002.136,1561.6,0.0733,0.852,0.4627,full-governance
M-036,medium,V-only,10560.769,1600.6,0.0939,0.8991,0.4965,full-governance
M-037,medium,V-only,9723.112,1522.6,0.0631,0.8049,0.434,full-governance
M-038,medium,V-only,10698.755,1728.6,0.099,1.0537,0.5764,adaptive-governance
M-039,medium,V-only,8648.864,1603.6,0.0235,0.9027,0.4631,full-governance
M-040,medium,V-only,12974.014,1470.6,0.1829,0.7421,0.4625,full-governance
M-041,medium,V-only,9123.488,1649.6,0.041,0.9583,0.4996,full-governance
M-042,medium,V-only,11051.748,1665.6,0.112,0.9776,0.5448,adaptive-governance
M-043,medium,V-only,11107.914,1635.6,0.1141,0.9414,0.5277,adaptive-governance
M-044,medium,V-only,9279.177,1739.6,0.0467,1.067,0.5568,adaptive-governance
M-000,medium,G-only,-693.978,-3.4,-0.3209,-1.0378,-0.6794,full-governance
M-001,medium,G-only,-542.179,171.6,-0.3154,-0.8265,-0.5709,full-governance
M-002,medium,G-only,-140.188,49.6,-0.3005,-0.9738,-0.6372,full-governance
M-003,medium,G-only,1470.913,178.6,-0.2411,-0.8181,-0.5296,full-governance
M-004,medium,G-only,-383.46,101.6,-0.3095,-0.911,-0.6103,full-governance
M-005,medium,G-only,-548.329,43.6,-0.3156,-0.9811,-0.6483,full-governance
M-006,medium,G-only,1406.077,153.6,-0.2435,-0.8482,-0.5459,full-governance
M-007,medium,G-only,-301.396,35.6,-0.3065,-0.9907,-0.6486,full-governance
M-008,medium,G-only,741.613,80.6,-0.268,-0.9364,-0.6022,full-governance
M-009,medium,G-only,-586.075,76.6,-0.317,-0.9412,-0.6291,full-governance
M-010,medium,G-only,751.034,158.6,-0.2677,-0.8422,-0.5549,full-governance
M-011,medium,G-only,388.745,121.6,-0.281,-0.8869,-0.584,full-governance
M-012,medium,G-only,86.377,-91.4,-0.2922,-1.1441,-0.7181,full-governance
M-013,medium,G-only,1354.692,108.6,-0.2454,-0.9026,-0.574,full-governance
M-014,medium,G-only,483.131,85.6,-0.2776,-0.9304,-0.604,full-governance
M-015,medium,G-only,-156.669,70.6,-0.3011,-0.9485,-0.6248,full-governance
M-016,medium,G-only,-393.965,-29.4,-0.3099,-1.0692,-0.6896,full-governance
M-017,medium,G-only,965.972,114.6,-0.2598,-0.8953,-0.5775,full-governance
M-018,medium,G-only,843.925,140.6,-0.2643,-0.8639,-0.5641,full-governance
M-019,medium,G-only,3151.964,35.6,-0.1792,-0.9907,-0.585,full-governance
M-020,medium,G-only,-566.877,-123.4,-0.3163,-1.1827,-0.7495,full-governance
M-021,medium,G-only,1625.145,92.6,-0.2355,-0.9219,-0.5787,full-governance
M-022,medium,G-only,-484.404,25.6,-0.3132,-1.0028,-0.658,full-governance
M-023,medium,G-only,-641.741,-5.4,-0.319,-1.0403,-0.6796,full-governance
M-024,medium,G-only,361.861,88.6,-0.282,-0.9267,-0.6044,full-governance
M-025,medium,G-only,-472.641,-4.4,-0.3128,-1.039,-0.6759,full-governance
M-026,medium,G-only,-677.365,49.6,-0.3203,-0.9738,-0.6471,full-governance
M-027,medium,G-only,-310.736,64.6,-0.3068,-0.9557,-0.6313,full-governance
M-028,medium,G-only,-390.341,135.6,-0.3098,-0.87,-0.5899,full-governance
M-029,medium,G-only,1613.762,63.6,-0.2359,-0.9569,-0.5964,full-governance
M-030,medium,G-only,-765.493,149.6,-0.3236,-0.8531,-0.5883,full-governance
M-031,medium,G-only,896.566,-47.4,-0.2623,-1.091,-0.6766,full-governance
M-032,medium,G-only,-628.335,156.6,-0.3185,-0.8446,-0.5816,full-governance
M-033,medium,G-only,730.758,0.6,-0.2684,-1.033,-0.6507,full-governance
M-034,medium,G-only,-835.34,89.6,-0.3262,-0.9255,-0.6258,full-governance
M-035,medium,G-only,13.106,16.6,-0.2949,-1.0137,-0.6543,full-governance
M-036,medium,G-only,-761.334,99.6,-0.3234,-0.9135,-0.6184,full-governance
M-037,medium,G-only,-304.425,26.6,-0.3066,-1.0016,-0.6541,full-governance
M-038,medium,G-only,-564.939,162.6,-0.3162,-0.8374,-0.5768,full-governance
M-039,medium,G-only,-563.785,31.6,-0.3161,-0.9956,-0.6559,full-governance
M-040,medium,G-only,-384.43,55.6,-0.3095,-0.9666,-0.6381,full-governance
M-041,medium,G-only,673.511,53.6,-0.2705,-0.969,-0.6198,full-governance
M-042,medium,G-only,-653.972,75.6,-0.3195,-0.9424,-0.631,full-governance
M-043,medium,G-only,1288.343,138.6,-0.2479,-0.8664,-0.5571,full-governance
M-044,medium,G-only,-258.86,171.6,-0.3049,-0.8265,-0.5657,full-governance
M-000,medium,Full,10077.639,1676.6,0.0761,0.9909,0.5335,adaptive-governance
M-001,medium,Full,11520.312,1827.6,0.1293,1.1732,0.6513,adaptive-governance
M-002,medium,Full,9489.259,1748.6,0.0544,1.0778,0.5661,adaptive-governance
M-003,medium,Full,10719.182,1774.6,0.0998,1.1092,0.6045,adaptive-governance
M-004,medium,Full,13004.612,1675.6,0.184,0.9897,0.5869,adaptive-governance
M-005,medium,Full,12050.658,1818.6,0.1489,1.1624,0.6556,adaptive-governance
M-006,medium,Full,10092.813,1761.6,0.0767,1.0935,0.5851,adaptive-governance
M-007,medium,Full,9866.208,1822.6,0.0683,1.1672,0.6178,adaptive-governance
M-008,medium,Full,11921.431,1853.6,0.1441,1.2046,0.6744,adaptive-governance
M-009,medium,Full,11389.356,1786.6,0.1245,1.1237,0.6241,adaptive-governance
M-010,medium,Full,11309.918,1723.6,0.1216,1.0476,0.5846,adaptive-governance
M-011,medium,Full,13305.105,1738.6,0.1951,1.0658,0.6304,adaptive-governance
M-012,medium,Full,11035.337,1553.6,0.1114,0.8424,0.4769,full-governance
M-013,medium,Full,11716.61,1638.6,0.1365,0.945,0.5408,adaptive-governance
M-014,medium,Full,9184.602,1673.6,0.0432,0.9873,0.5152,adaptive-governance
M-015,medium,Full,10827.258,1808.6,0.1038,1.1503,0.627,adaptive-governance
M-016,medium,Full,10138.366,1754.6,0.0784,1.0851,0.5817,adaptive-governance
M-017,medium,Full,11853.139,1696.6,0.1416,1.015,0.5783,adaptive-governance
M-018,medium,Full,9791.773,1738.6,0.0656,1.0658,0.5657,adaptive-governance
M-019,medium,Full,65735.329,1710.6,2.1278,1.0319,1.5799,minimal-governance
M-020,medium,Full,11241.388,1769.6,0.119,1.1032,0.6111,adaptive-governance
M-021,medium,Full,11379.264,1830.6,0.1241,1.1769,0.6505,adaptive-governance
M-022,medium,Full,11024.683,1737.6,0.111,1.0646,0.5878,adaptive-governance
M-023,medium,Full,9476.464,1731.6,0.054,1.0573,0.5556,adaptive-governance
M-024,medium,Full,13858.393,1804.6,0.2155,1.1455,0.6805,adaptive-governance
M-025,medium,Full,18993.5,1775.6,0.4048,1.1104,0.7576,adaptive-governance
M-026,medium,Full,10869.538,1568.6,0.1053,0.8605,0.4829,full-governance
M-027,medium,Full,10751.653,1757.6,0.101,1.0887,0.5948,adaptive-governance
M-028,medium,Full,10902.425,1771.6,0.1065,1.1056,0.6061,adaptive-governance
M-029,medium,Full,15684.358,1770.6,0.2828,1.1044,0.6936,adaptive-governance
M-030,medium,Full,12004.118,1836.6,0.1471,1.1841,0.6656,adaptive-governance
M-031,medium,Full,15099.413,1680.6,0.2612,0.9957,0.6285,adaptive-governance
M-032,medium,Full,12198.339,1838.6,0.1543,1.1865,0.6704,adaptive-governance
M-033,medium,Full,17703.487,1628.6,0.3572,0.9329,0.6451,adaptive-governance
M-034,medium,Full,15743.869,1732.6,0.285,1.0585,0.6718,adaptive-governance
M-035,medium,Full,10466.343,1748.6,0.0905,1.0778,0.5841,adaptive-governance
M-036,medium,Full,14805.029,1826.6,0.2504,1.172,0.7112,adaptive-governance
M-037,medium,Full,14645.036,1693.6,0.2445,1.0114,0.628,adaptive-governance
M-038,medium,Full,10315.776,1861.6,0.0849,1.2143,0.6496,adaptive-governance
M-039,medium,Full,10416.366,1711.6,0.0886,1.0332,0.5609,adaptive-governance
M-040,medium,Full,13407.506,1757.6,0.1989,1.0887,0.6438,adaptive-governance
M-041,medium,Full,12627.989,1821.6,0.1701,1.166,0.6681,adaptive-governance
M-042,medium,Full,11192.034,1761.6,0.1172,1.0935,0.6054,adaptive-governance
M-043,medium,Full,11603.088,1851.6,0.1324,1.2022,0.6673,adaptive-governance
M-044,medium,Full,10418.827,1831.6,0.0887,1.1781,0.6334,adaptive-governance
